Date,Open,High,Low,Close,Adj Close,Volume
11/18/1996,9,9,8.625,9,6.310381,81300
11/19/1996,9,9,8.625,9,6.310381,138100
11/20/1996,9.0625,9.25,8.5,9.0625,6.354205,56000
11/21/1996,9,9.125,8.5625,9,6.310381,91700
11/22/1996,9.125,9.25,8.75,9.125,6.398028,200100
11/25/1996,9.125,9.25,8.75,9.125,6.398028,90600
11/26/1996,9.25,9.25,8.75,9.25,6.485672,76200
11/27/1996,9.25,9.25,8.75,9.25,6.485672,75000
11/29/1996,9.0625,9.25,8.75,9.0625,6.354205,48000
12/2/1996,8.75,9.25,8.5,8.75,6.135094,130600
12/3/1996,8.875,9.125,8.5,8.875,6.222738,107000
12/4/1996,9,9.25,8.5,9,6.310381,85200
12/5/1996,9.125,9.25,8.75,9.125,6.398028,142600
12/6/1996,9.25,9.5,8.75,9.25,6.485672,96900
12/9/1996,9.3125,9.5,9,9.3125,6.529494,115600
12/10/1996,9.625,9.75,9.125,9.625,6.748605,156800
12/11/1996,9.375,9.625,9.125,9.375,6.573317,88900
12/12/1996,9.25,9.625,8.875,9.25,6.485672,101500
12/13/1996,8.875,9.375,8.75,8.875,6.222738,83900
12/16/1996,9.25,9.75,8.75,9.25,6.485672,77100
12/17/1996,9.25,9.375,8.875,9.25,6.485672,145000
12/18/1996,9.125,9.375,8.875,9.125,6.398028,116500
12/19/1996,9.125,9.25,8.625,9.125,6.398028,41800
12/20/1996,9.25,9.75,8.875,9.25,6.485672,50800
12/23/1996,8.875,9.5,8.875,8.875,6.222738,33200
12/24/1996,9.25,9.5,8.75,9.25,6.485672,56600
12/26/1996,9.125,9.5,8.75,9.125,6.398028,33200
12/27/1996,9.125,9.25,8.75,9.125,6.398028,26500
12/30/1996,9.125,9.25,8.75,9.125,6.398028,58000
12/31/1996,9.125,9.25,8.625,9.125,6.398028,69800
1/2/1997,9.125,9.25,8.625,9.125,6.398028,44800
1/3/1997,9,9.125,8.625,9,6.310381,53400
1/6/1997,8.875,9.25,8.75,8.875,6.222738,69600
1/7/1997,9.125,9.25,8.625,9.125,6.398028,38100
1/8/1997,8.625,9.125,8.5625,8.625,6.04745,52000
1/9/1997,8.875,9.125,8.5,8.875,6.222738,75400
1/10/1997,8.5625,8.875,8.25,8.5625,6.003629,63300
1/13/1997,9,9,8.375,9,6.310381,51500
1/14/1997,8.875,9.125,8.375,8.875,6.222738,52900
1/15/1997,8.375,8.875,8.25,8.375,5.872161,41300
1/16/1997,7.875,8.375,7.75,7.875,5.521586,70900
1/17/1997,7.875,8.375,7.875,7.875,5.521586,76200
1/20/1997,8,8.25,7.625,8,5.60923,70400
1/21/1997,8.125,8.375,7.75,8.125,5.696873,68400
1/22/1997,8.125,8.25,7.75,8.125,5.696873,88300
1/23/1997,8,8.25,7.875,8,5.60923,72000
1/24/1997,8.375,8.375,7.625,8.375,5.872161,63000
1/27/1997,8.125,8.375,7.625,8.125,5.696873,35300
1/28/1997,7.75,8.25,7.625,7.75,5.43394,51300
1/29/1997,8,8,7.5,8,5.60923,51200
1/30/1997,8,8.25,7.625,8,5.60923,113300
1/31/1997,8,8.375,7.875,8,5.60923,74600
2/3/1997,8.5,8.5,8,8.5,5.959805,33400
2/4/1997,8,8.5,8,8,5.60923,37900
2/5/1997,8,8.5,7.9375,8,5.60923,29000
2/6/1997,8,8.375,7.875,8,5.60923,44500
2/7/1997,8.25,8.25,7.75,8.25,5.784518,32200
2/10/1997,7.875,8.375,7.75,7.875,5.521586,50000
2/11/1997,8.25,8.25,7.8125,8.25,5.784518,48600
2/12/1997,8.25,8.25,7.875,8.25,5.784518,95700
2/13/1997,8.1718,8.25,7.875,8.1718,5.729688,38000
2/14/1997,8.375,8.625,8,8.375,5.872161,62100
2/18/1997,8.25,8.625,8,8.25,5.784518,51500
2/19/1997,8.5,8.5,7.875,8.5,5.959805,39200
2/20/1997,8.375,8.625,8,8.375,5.872161,132900
2/21/1997,8.625,8.625,8.25,8.625,6.04745,34100
2/24/1997,8.4218,8.875,8.375,8.4218,5.904977,29200
2/25/1997,8.375,8.75,8.125,8.375,5.872161,45200
2/26/1997,8.5,8.75,8.25,8.5,5.959805,43800
2/27/1997,8.625,9,8.375,8.625,6.04745,38500
2/28/1997,8.875,8.875,8.5,8.875,6.222738,41900
3/3/1997,8.5468,8.875,8.5,8.5468,5.99262,83600
3/4/1997,8.625,9,8.5,8.625,6.04745,43500
3/5/1997,8.5,8.875,8.375,8.5,5.959805,35200
3/6/1997,8.875,9,8.5468,8.875,6.222738,34700
