Date,Open,High,Low,Close,Adj Close,Volume
1/5/2010,4.474,4.48,4.41,4.452,4.154419,76000
1/6/2010,4.48,4.482,4.47,4.482,4.182413,56000
1/7/2010,4.298,4.3,4.254,4.3,4.012578,49500
1/8/2010,4.29,4.36,4.29,4.358,4.066701,26000
1/11/2010,4.44,4.444,4.426,4.444,4.146953,134000
1/12/2010,4.39,4.39,4.33,4.366,4.074167,67000
1/13/2010,4.37,4.45,4.37,4.45,4.152552,35000
1/14/2010,4.49,4.5,4.47,4.488,4.188012,271500
1/15/2010,4.52,4.554,4.468,4.51,4.208542,70000
1/19/2010,4.19,4.226,4.13,4.224,3.941659,165000
1/20/2010,4.02,4.032,3.924,3.96,3.695305,1448500
1/21/2010,3.928,3.928,3.9,3.9,3.639315,61500
1/22/2010,3.878,3.88,3.77,3.77,3.518004,291500
1/25/2010,3.792,3.872,3.792,3.872,3.613187,230000
1/26/2010,3.7,3.73,3.69,3.69,3.443352,73000
1/27/2010,3.668,3.668,3.6,3.63,3.387363,90000
1/28/2010,3.71,3.778,3.698,3.7,3.452684,174000
1/29/2010,3.778,3.78,3.722,3.76,3.508673,27000
2/1/2010,3.678,3.692,3.66,3.66,3.415357,38000
2/2/2010,3.662,3.71,3.662,3.71,3.462015,26500
2/3/2010,3.904,3.904,3.85,3.894,3.633716,38000
2/4/2010,3.786,3.786,3.642,3.642,3.398561,134500
2/5/2010,3.596,3.596,3.5,3.518,3.282849,302500
2/8/2010,3.578,3.578,3.514,3.514,3.279116,97500
2/9/2010,3.492,3.51,3.49,3.51,3.275383,31000
2/10/2010,3.554,3.588,3.53,3.588,3.34817,95000
2/11/2010,3.712,3.768,3.712,3.768,3.516138,40500
2/12/2010,3.8,3.8,3.75,3.752,3.501208,104500
2/16/2010,3.8,3.892,3.8,3.836,3.579593,56500
2/17/2010,3.868,3.92,3.86,3.88,3.620652,58500
2/18/2010,3.88,3.9,3.82,3.9,3.639315,80000
2/19/2010,3.71,3.756,3.654,3.744,3.493742,76000
2/22/2010,3.878,3.878,3.85,3.878,3.618786,386500
2/23/2010,3.88,3.88,3.85,3.862,3.603856,21000
2/24/2010,3.836,3.88,3.836,3.86,3.601989,40000
2/25/2010,3.764,3.828,3.764,3.824,3.568395,126000
2/26/2010,3.88,3.902,3.88,3.902,3.641181,17500
3/1/2010,4,4,3.966,3.972,3.706502,28000
3/2/2010,4.108,4.11,4.068,4.096,3.822214,56000
3/3/2010,4.076,4.11,4.064,4.066,3.794219,39500
3/4/2010,3.994,4,3.972,3.984,3.7177,62000
3/5/2010,4.1,4.11,4.08,4.11,3.835278,43000
3/8/2010,4.13,4.14,4.114,4.114,3.839011,117500
3/9/2010,4.14,4.14,4.1,4.11,3.835278,61500
3/10/2010,4.18,4.25,4.18,4.182,3.902466,186000
3/11/2010,4.232,4.236,4.21,4.21,3.928594,44000
3/12/2010,4.21,4.21,4.17,4.188,3.908065,58000
3/15/2010,4.358,4.36,4.276,4.3,4.012578,49500
3/16/2010,4.242,4.32,4.242,4.3,4.012578,56000
3/17/2010,4.29,4.34,4.29,4.34,4.049904,113500
3/18/2010,4.08,4.08,4.032,4.078,3.805417,436000
3/19/2010,4.06,4.06,4.01,4.034,3.764358,225500
3/22/2010,4.058,4.102,4.002,4.102,3.827814,229000
3/23/2010,4.108,4.126,4.05,4.126,3.850209,160500
3/24/2010,4.128,4.128,4.056,4.066,3.794219,190500
3/25/2010,4.1,4.108,4.056,4.08,3.807283,108000
3/26/2010,4.066,4.12,4.058,4.118,3.842743,170500
3/29/2010,4.15,4.15,4.09,4.146,3.868872,95000
3/30/2010,4.088,4.088,4.042,4.076,3.803551,122000
3/31/2010,4.038,4.038,4.006,4.018,3.749428,31500
4/1/2010,4.006,4.006,3.978,3.986,3.719566,57000
4/5/2010,3.96,4.04,3.96,4.04,3.769957,29500
4/6/2010,3.998,4.04,3.998,4.04,3.769957,76500
4/7/2010,4.048,4.048,3.988,3.988,3.721433,76000
4/8/2010,4.04,4.11,4.04,4.11,3.835278,130000
4/9/2010,4.16,4.192,4.156,4.158,3.88007,97500
4/12/2010,4.188,4.19,4.142,4.146,3.868872,195000
4/13/2010,4.168,4.168,4.11,4.13,3.853942,177500
4/14/2010,4.17,4.18,4.166,4.17,3.891268,74500
4/15/2010,4.148,4.148,4.1,4.112,3.837145,41000
4/16/2010,4.06,4.098,4.01,4.012,3.743829,28500
4/19/2010,4.008,4.01,3.98,4.01,3.741963,16500
4/20/2010,4.068,4.068,4.022,4.05,3.779289,38000
4/21/2010,4.064,4.064,4.02,4.02,3.751294,13000
4/22/2010,4.04,4.05,4.022,4.05,3.779289,25000
4/23/2010,4.194,4.21,4.16,4.21,3.928594,4925000
4/26/2010,4.266,4.266,4.234,4.252,3.967787,196000
4/27/2010,4.162,4.162,4.054,4.06,3.78862,384000
4/28/2010,4.082,4.14,4.072,4.14,3.863273,96500
4/29/2010,4.158,4.18,4.126,4.18,3.900599,120500
4/30/2010,4.2,4.2,4.138,4.138,3.861406,34500
5/3/2010,4.278,4.3,4.222,4.298,4.020818,50500
5/4/2010,4.25,4.25,4.09,4.098,3.833716,478000
5/5/2010,4.106,4.146,4.072,4.114,3.848684,72000
5/6/2010,3.98,4.004,3.77,3.888,3.637259,104000
5/7/2010,3.876,3.936,3.794,3.864,3.614806,133500
5/10/2010,3.95,4.03,3.944,3.98,3.723326,169000
5/11/2010,3.994,4.03,3.984,4.03,3.770101,183000
5/12/2010,3.92,3.96,3.92,3.958,3.702744,59500
5/13/2010,4.098,4.122,4.002,4.086,3.822489,144500
5/14/2010,4.144,4.168,4.054,4.096,3.831845,271000
5/17/2010,3.984,4,3.924,4,3.742036,68500
