Date,Open,High,Low,Close,Adj Close,Volume
4/15/1997,3.666667,3.916667,3.416667,3.916667,3.916425,1785600
4/16/1997,3.916667,4.166667,3.583333,3.708333,3.708104,443700
4/17/1997,3.75,4.083333,3.75,3.833333,3.833097,252100
4/18/1997,3.833333,4,3.833333,4,3.999753,165900
4/21/1997,3.916667,4,3.916667,4,3.999753,77400
4/22/1997,4,4,3.916667,3.916667,3.916425,81600
4/23/1997,4,4.5,3.916667,4.5,4.499722,180600
4/24/1997,4.5,5,4.416667,4.833333,4.833035,281500
4/25/1997,4.916667,4.916667,4.416667,4.5,4.499722,114100
4/28/1997,4.5,4.708333,4.333333,4.333333,4.333066,76600
4/29/1997,4.333333,4.916667,4.333333,4.916667,4.916363,122200
4/30/1997,4.75,5.083333,4.75,5.041667,5.041355,78400
5/1/1997,5,5.166667,5,5.125,5.124683,33400
5/2/1997,5,5,4.666667,5,4.999691,70200
5/5/1997,4.833333,5,4.833333,4.833333,4.833035,12300
5/6/1997,4.833333,4.916667,4.833333,4.833333,4.833035,64600
5/7/1997,4.833333,4.916667,4.666667,4.916667,4.916363,37600
5/8/1997,4.75,4.916667,4.75,4.75,4.749707,63600
5/9/1997,4.916667,4.916667,4.75,4.833333,4.833035,35700
5/12/1997,4.916667,5.666667,4.833333,5.416667,5.416332,289800
5/13/1997,5.416667,5.666667,5.416667,5.666667,5.666317,24900
5/14/1997,5.666667,5.666667,5.5,5.5,5.49966,207700
5/15/1997,5.5,5.5,5.333333,5.333333,5.333004,75100
5/16/1997,5.333333,5.5,5,5.5,5.49966,158200
5/19/1997,5.333333,5.5,5.25,5.416667,5.416332,60600
5/20/1997,5.416667,5.416667,5.25,5.25,5.249676,31900
5/21/1997,5.25,5.333333,4.75,5.166667,5.166348,146500
5/22/1997,5.166667,5.25,5.166667,5.166667,5.166348,26800
5/23/1997,5.166667,5.25,5.083333,5.125,5.124683,42300
5/27/1997,5.25,5.416667,5,5.333333,5.333004,156600
5/28/1997,5.416667,5.416667,5.166667,5.333333,5.333004,36900
5/29/1997,5.333333,5.666667,5.25,5.333333,5.333004,105300
5/30/1997,5.333333,5.333333,5,5.25,5.249676,127500
6/2/1997,5.291667,5.291667,5.25,5.25,5.249676,25900
6/3/1997,5.25,5.583333,5.25,5.5,5.49966,184000
6/4/1997,5.416667,5.541667,5.333333,5.333333,5.333004,47400
6/5/1997,5.333333,5.5,5.333333,5.458333,5.457996,48000
6/6/1997,5.5,5.5,5.333333,5.333333,5.333004,29800
