Date,Open,High,Low,Close,Adj Close,Volume
6/12/1990,1.083333,1.25,1.083333,1.166667,0.847002,28022400
6/13/1990,1.166667,1.3125,1.125,1.291667,0.937752,10702800
6/14/1990,1.291667,1.354167,1.25,1.333333,0.968002,5994000
6/15/1990,1.333333,1.333333,1.270833,1.291667,0.937752,3896400
6/18/1990,1.3125,1.3125,1.229167,1.239583,0.899939,2242800
6/19/1990,1.229167,1.291667,1.208333,1.28125,0.93019,6829200
6/20/1990,1.291667,1.291667,1.25,1.270833,0.922627,931200
6/21/1990,1.25,1.270833,1.229167,1.270833,0.922627,842400
6/22/1990,1.270833,1.270833,1.229167,1.260417,0.915064,1428000
6/25/1990,1.25,1.291667,1.229167,1.25,0.907502,1849200
6/26/1990,1.270833,1.291667,1.229167,1.229167,0.892377,1482000
6/27/1990,1.229167,1.3125,1.229167,1.28125,0.93019,7206000
6/28/1990,1.291667,1.291667,1.25,1.270833,0.922627,2084400
6/29/1990,1.270833,1.270833,1.25,1.25,0.907502,2312400
7/2/1990,1.25,1.270833,1.229167,1.239583,0.899939,596400
7/3/1990,1.25,1.25,1.208333,1.25,0.907502,1974000
7/5/1990,1.229167,1.25,1.229167,1.229167,0.892377,1177200
7/6/1990,1.25,1.25,1.208333,1.25,0.907502,396000
7/9/1990,1.270833,1.270833,1.229167,1.229167,0.892377,534000
7/10/1990,1.229167,1.333333,1.229167,1.291667,0.937752,3079200
7/11/1990,1.291667,1.333333,1.270833,1.270833,0.922627,1683600
7/12/1990,1.3125,1.3125,1.25,1.270833,0.922627,4863600
7/13/1990,1.3125,1.333333,1.270833,1.333333,0.968002,3573600
7/16/1990,1.354167,1.375,1.270833,1.333333,0.968002,4029600
7/17/1990,1.333333,1.354167,1.3125,1.333333,0.968002,2526000
7/18/1990,1.354167,1.416667,1.333333,1.375,0.998253,3375600
7/19/1990,1.375,1.395833,1.354167,1.364583,0.99069,943200
7/20/1990,1.395833,1.395833,1.354167,1.354167,0.983127,630000
7/23/1990,1.354167,1.375,1.25,1.270833,0.922627,1952400
7/24/1990,1.291667,1.3125,1.208333,1.239583,0.899939,1084800
7/25/1990,1.25,1.3125,1.229167,1.291667,0.937752,1543200
7/26/1990,1.3125,1.3125,1.270833,1.270833,0.922627,447600
7/27/1990,1.270833,1.291667,1.270833,1.270833,0.922627,122400
7/30/1990,1.25,1.270833,1.145833,1.229167,0.892377,1852800
7/31/1990,1.229167,1.270833,1.1875,1.208333,0.877252,1010400
8/1/1990,1.229167,1.229167,1.1875,1.229167,0.892377,411600
8/2/1990,1.1875,1.208333,1.104167,1.145833,0.831877,1917600
8/3/1990,1.145833,1.166667,1.104167,1.111975,0.807296,829200
8/6/1990,1.104167,1.104167,1,1.041667,0.756252,1581600
